node_id,alert_text
0,设备接口eth2端口11状态 DOWN
1,检测到到节点3的往返延迟 RTT ~284ms
1,设备接口eth0端口34状态 DOWN
2,检测到到节点15的往返延迟 RTT ~258ms
2,与邻居节点 15 的链路延迟超过 455ms
2,与邻居节点 10 的链路延迟超过 415ms
3,设备接口eth3端口24状态 DOWN
3,CPU 利用率超过 98%，可能存在过载风险
3,设备接口eth3端口25状态 DOWN
4,流量负载突增，当前占用 75%
4,入流量瞬时增长至 78% 带宽利用率
5,与邻居节点 4 的链路延迟超过 367ms
5,检测到到节点4的往返延迟 RTT ~343ms
5,接口 eth0 在端口 3 出现断开
6,流量负载突增，当前占用 93%
6,RAM 占用 87%，剩余不足
6,接口 eth3 在端口 28 出现断开
7,与邻居节点 6 的链路延迟超过 372ms
7,接口 eth3 在端口 41 出现断开
8,检测到到节点3的往返延迟 RTT ~247ms
9,检测到到节点15的往返延迟 RTT ~164ms
9,接口 eth1 在端口 41 出现断开
10,与邻居节点 0 的链路延迟超过 141ms
10,与邻居节点 0 的链路延迟超过 204ms
10,设备接口eth1端口46状态 DOWN
11,流量负载突增，当前占用 72%
11,设备接口eth1端口46状态 DOWN
11,设备接口eth1端口43状态 DOWN
12,检测到到节点14的往返延迟 RTT ~166ms
13,入流量瞬时增长至 80% 带宽利用率
14,流量负载突增，当前占用 87%
14,接口 eth1 在端口 4 出现断开
15,入流量瞬时增长至 75% 带宽利用率
15,接口 eth1 在端口 9 出现断开
15,RAM 占用 95%，剩余不足
16,RAM 占用 88%，剩余不足
16,处理器占用率 88%，需关注性能瓶颈
16,入流量瞬时增长至 77% 带宽利用率
17,CPU 利用率超过 70%，可能存在过载风险
17,CPU 利用率超过 86%，可能存在过载风险
18,检测到到节点17的往返延迟 RTT ~347ms
18,接口 eth1 在端口 18 出现断开
18,内存使用率达 100%，系统将触发垃圾回收
0,流量负载突增，当前占用 77%
1,设备接口eth2端口31状态 DOWN
1,与邻居节点 10 的链路延迟超过 277ms
2,设备接口eth1端口19状态 DOWN
3,处理器占用率 86%，需关注性能瓶颈
4,流量负载突增，当前占用 87%
4,CPU 利用率超过 86%，可能存在过载风险
5,接口 eth3 在端口 14 出现断开
5,接口 eth1 在端口 39 出现断开
6,检测到到节点7的往返延迟 RTT ~263ms
6,与邻居节点 4 的链路延迟超过 445ms
7,检测到到节点6的往返延迟 RTT ~188ms
8,检测到到节点7的往返延迟 RTT ~213ms
9,设备接口eth2端口21状态 DOWN
9,处理器占用率 86%，需关注性能瓶颈
9,接口 eth0 在端口 19 出现断开
10,流量负载突增，当前占用 99%
10,流量负载突增，当前占用 73%
0,内存使用率达 90%，系统将触发垃圾回收
0,设备接口eth2端口21状态 DOWN
0,设备接口eth3端口35状态 DOWN
1,与邻居节点 22 的链路延迟超过 250ms
2,接口 eth2 在端口 19 出现断开
2,设备接口eth0端口41状态 DOWN
3,RAM 占用 86%，剩余不足
3,流量负载突增，当前占用 99%
3,接口 eth2 在端口 6 出现断开
4,与邻居节点 0 的链路延迟超过 387ms
4,入流量瞬时增长至 96% 带宽利用率
